time,shoulder_pan_joint_pos,shoulder_lift_joint_pos,elbow_joint_pos,wrist_1_joint_pos,wrist_2_joint_pos,wrist_3_joint_pos
177.415750726,-1.9124296207671656,-1.1706933100794075,1.5631532132497714,-3.534752182062661,-1.7280344295714247,-0.001562858138377532
177.42596116,-1.9124296207671656,-1.170693310079404,1.5631532132497687,-3.534752182062661,-1.728034429571422,-0.0015628581383801965
177.435858014,-1.912429620767163,-1.1706933100794021,1.563153213249766,-3.534752182062661,-1.7280344295714212,-0.0015628581383784201
177.446017073,-1.912429620767163,-1.1706933100793995,1.5631532132497643,-3.534752182062663,-1.7280344295714212,-0.001562858138377532
177.455854678,-1.912429620767162,-1.170693310079396,1.5631532132497608,-3.534752182062661,-1.7280344295714185,-0.0015628581383784201
177.466023185,-1.9124296207671603,-1.170693310079395,1.563153213249758,-3.534752182062661,-1.7280344295714194,-0.001562858138377532
177.475810367,-1.9124296207671603,-1.1706933100793915,1.5631532132497563,-3.534752182062661,-1.7280344295714185,-0.0015628581383784201
177.485792069,-1.9124296207671585,-1.1706933100793906,1.5631532132497545,-3.534752182062663,-1.7280344295714176,-0.001562858138377532
177.496062673,-1.9124296207671585,-1.170693310079388,1.563153213249751,-3.534752182062663,-1.7280344295714176,-0.0015628581383793083
177.505912511,-1.9124296207671558,-1.1706933100793862,1.5631532132497492,-3.5347521820626646,-1.7280344295714167,-0.0015628581383784201
177.515826487,-1.912429620767155,-1.1706933100793844,1.5631532132497474,-3.5347521820626646,-1.728034429571415,-0.0015628581383757556
177.525972011,-1.912429620767155,-1.1706933100793826,1.5631532132497448,-3.5347521820626664,-1.7280344295714158,-0.0015628581383766438
177.535818153,-1.912429620767154,-1.1706933100793808,1.5631532132497439,-3.5347521820626646,-1.7280344295714132,-0.0015628581383748674
177.546373893,-1.9124296207671532,-1.170693310079379,1.5631532132497412,-3.5347521820626646,-1.7280344295714114,-0.0015628581383766438
177.55596276,-1.9124296207671514,-1.1706933100793782,1.5631532132497394,-3.5347521820626646,-1.7280344295714123,-0.0015628581383739792
177.565935915,-1.9124296207671514,-1.1706933100793773,1.5631532132497377,-3.5347521820626664,-1.7280344295714123,-0.0015628581383766438
177.575970174,-1.9124296207671514,-1.1706933100793746,1.5631532132497359,-3.5347521820626664,-1.7280344295714123,-0.0015628581383739792
177.585918093,-1.9124296207671496,-1.1706933100793737,1.563153213249734,-3.5347521820626664,-1.7280344295714096,-0.0015628581383766438
177.595876521,-1.9124296207671478,-1.170693310079371,1.5631532132497332,-3.5347521820626664,-1.7280344295714114,-0.0015628581383748674
177.605860236,-1.9124296207671478,-1.1706933100793693,1.5631532132497314,-3.534752182062668,-1.7280344295714105,-0.0015628581383748674
177.616008625,-1.9124296207671478,-1.1706933100793675,1.5631532132497297,-3.534752182062668,-1.7280344295714096,-0.0015628581383766438
177.625997079,-1.9124296207671478,-1.1706933100793666,1.563153213249728,-3.534752182062668,-1.7280344295714078,-0.0015628581383739792
177.635894395,-1.912429620767146,-1.1706933100793666,1.563153213249727,-3.5347521820626664,-1.728034429571406,-0.0015628581383757556
177.645987843,-1.9124296207671443,-1.1706933100793648,1.5631532132497252,-3.534752182062668,-1.7280344295714078,-0.0015628581383748674
177.656146501,-1.9124296207671443,-1.170693310079364,1.5631532132497243,-3.534752182062668,-1.7280344295714078,-0.0015628581383748674
177.666004694,-1.9124296207671443,-1.170693310079364,1.5631532132497234,-3.534752182062668,-1.728034429571407,-0.0015628581383757556
177.676023825,-1.9124296207671443,-1.1706933100793613,1.5631532132497217,-3.53475218206267,-1.728034429571407,-0.0015628581383757556
177.685951386,-1.9124296207671443,-1.1706933100793595,1.5631532132497208,-3.53475218206267,-1.728034429571406,-0.0015628581383748674
177.695881041,-1.9124296207671425,-1.1706933100793604,1.563153213249719,-3.534752182062668,-1.728034429571407,-0.0015628581383748674
177.706228738,-1.9124296207671425,-1.1706933100793586,1.5631532132497181,-3.534752182062668,-1.7280344295714043,-0.0015628581383748674
177.715921627,-1.9124296207671407,-1.170693310079356,1.5631532132497172,-3.534752182062668,-1.7280344295714043,-0.0015628581383748674
177.725918747,-1.9124296207671407,-1.1706933100793568,1.5631532132497155,-3.53475218206267,-1.7280344295714052,-0.0015628581383748674
